instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_group
39,2011-01-02,Spring,2011,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,Sejuk
40,2011-01-02,Spring,2011,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,Sejuk
41,2011-01-02,Spring,2011,1,17,0,0,0,1,0.34,0.3333,0.57,0.19399999999999998,7,58,65,Sejuk
42,2011-01-02,Spring,2011,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,Sejuk
43,2011-01-02,Spring,2011,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,Sejuk
44,2011-01-02,Spring,2011,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,Dingin
45,2011-01-02,Spring,2011,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,Dingin
46,2011-01-02,Spring,2011,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,Dingin
47,2011-01-02,Spring,2011,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,Dingin
48,2011-01-03,Spring,2011,1,0,0,1,1,1,0.22,0.19699999999999998,0.44,0.3582,0,5,5,Dingin
49,2011-01-03,Spring,2011,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,Dingin
50,2011-01-03,Spring,2011,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,Dingin
51,2011-01-03,Spring,2011,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,Dingin
52,2011-01-03,Spring,2011,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,Dingin
53,2011-01-03,Spring,2011,1,7,0,1,1,1,0.14,0.1364,0.5,0.19399999999999998,1,63,64,Dingin
54,2011-01-03,Spring,2011,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,Dingin
55,2011-01-03,Spring,2011,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,Dingin
56,2011-01-03,Spring,2011,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,Dingin
57,2011-01-03,Spring,2011,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,Dingin
58,2011-01-03,Spring,2011,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,Dingin
59,2011-01-03,Spring,2011,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,Dingin
60,2011-01-03,Spring,2011,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,Dingin
61,2011-01-03,Spring,2011,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,Dingin
62,2011-01-03,Spring,2011,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,Dingin
63,2011-01-03,Spring,2011,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,Dingin
64,2011-01-03,Spring,2011,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,Dingin
65,2011-01-03,Spring,2011,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,Dingin
66,2011-01-03,Spring,2011,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,Dingin
67,2011-01-03,Spring,2011,1,21,0,1,1,1,0.18,0.19699999999999998,0.64,0.1343,3,49,52,Dingin
68,2011-01-03,Spring,2011,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,Dingin
69,2011-01-03,Spring,2011,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,Dingin
70,2011-01-04,Spring,2011,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,Dingin
71,2011-01-04,Spring,2011,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,Dingin
72,2011-01-04,Spring,2011,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,Dingin
73,2011-01-04,Spring,2011,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,Dingin
74,2011-01-04,Spring,2011,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,Dingin
75,2011-01-04,Spring,2011,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,Dingin
76,2011-01-04,Spring,2011,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,Dingin
77,2011-01-04,Spring,2011,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,Dingin
78,2011-01-04,Spring,2011,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,Dingin
79,2011-01-04,Spring,2011,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,Dingin
80,2011-01-04,Spring,2011,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,Dingin
81,2011-01-04,Spring,2011,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,Dingin
82,2011-01-04,Spring,2011,1,13,0,2,1,1,0.24,0.2273,0.56,0.19399999999999998,18,79,97,Dingin
83,2011-01-04,Spring,2011,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,Dingin
84,2011-01-04,Spring,2011,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,Dingin
85,2011-01-04,Spring,2011,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,Dingin
86,2011-01-04,Spring,2011,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,Dingin
87,2011-01-04,Spring,2011,1,18,0,2,1,1,0.26,0.2576,0.48,0.19399999999999998,3,179,182,Dingin
88,2011-01-04,Spring,2011,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,Dingin
89,2011-01-04,Spring,2011,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,Dingin
90,2011-01-04,Spring,2011,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,Dingin
91,2011-01-04,Spring,2011,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,Dingin
92,2011-01-04,Spring,2011,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,Dingin
93,2011-01-05,Spring,2011,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,Dingin
94,2011-01-05,Spring,2011,1,1,0,3,1,1,0.16,0.19699999999999998,0.74,0.0896,0,6,6,Dingin
95,2011-01-05,Spring,2011,1,2,0,3,1,1,0.16,0.19699999999999998,0.74,0.0896,0,2,2,Dingin
96,2011-01-05,Spring,2011,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,Dingin
97,2011-01-05,Spring,2011,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,Dingin
98,2011-01-05,Spring,2011,1,6,0,3,1,1,0.2,0.19699999999999998,0.47,0.2239,0,33,33,Dingin
99,2011-01-05,Spring,2011,1,7,0,3,1,1,0.18,0.1818,0.43,0.19399999999999998,1,87,88,Dingin
100,2011-01-05,Spring,2011,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,Dingin
101,2011-01-05,Spring,2011,1,9,0,3,1,1,0.22,0.19699999999999998,0.37,0.3284,6,109,115,Dingin
102,2011-01-05,Spring,2011,1,10,0,3,1,1,0.22,0.19699999999999998,0.37,0.3284,4,53,57,Dingin
103,2011-01-05,Spring,2011,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,Dingin
104,2011-01-05,Spring,2011,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,Dingin
105,2011-01-05,Spring,2011,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,Dingin
106,2011-01-05,Spring,2011,1,14,0,3,1,1,0.3,0.2879,0.28,0.19399999999999998,10,52,62,Dingin
107,2011-01-05,Spring,2011,1,15,0,3,1,1,0.3,0.2879,0.28,0.19399999999999998,7,55,62,Dingin
108,2011-01-05,Spring,2011,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,Dingin
109,2011-01-05,Spring,2011,1,17,0,3,1,1,0.24,0.2273,0.38,0.19399999999999998,4,186,190,Dingin
110,2011-01-05,Spring,2011,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,Dingin
111,2011-01-05,Spring,2011,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,Dingin
112,2011-01-05,Spring,2011,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,Dingin
113,2011-01-05,Spring,2011,1,21,0,3,1,1,0.2,0.19699999999999998,0.51,0.19399999999999998,3,40,43,Dingin
114,2011-01-05,Spring,2011,1,22,0,3,1,1,0.18,0.19699999999999998,0.55,0.1343,1,41,42,Dingin
115,2011-01-05,Spring,2011,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,Dingin
116,2011-01-06,Spring,2011,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,Dingin
117,2011-01-06,Spring,2011,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,Dingin
118,2011-01-06,Spring,2011,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,Dingin
119,2011-01-06,Spring,2011,1,4,0,4,1,2,0.16,0.19699999999999998,0.64,0.0896,0,1,1,Dingin
120,2011-01-06,Spring,2011,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,Dingin
121,2011-01-06,Spring,2011,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,Dingin
122,2011-01-06,Spring,2011,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,Dingin
123,2011-01-06,Spring,2011,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,Dingin
124,2011-01-06,Spring,2011,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,Dingin
125,2011-01-06,Spring,2011,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,Dingin
126,2011-01-06,Spring,2011,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,Dingin
127,2011-01-06,Spring,2011,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,Dingin
128,2011-01-06,Spring,2011,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,Dingin
129,2011-01-06,Spring,2011,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,Dingin
130,2011-01-06,Spring,2011,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,Dingin
131,2011-01-06,Spring,2011,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,Dingin
132,2011-01-06,Spring,2011,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,Dingin
133,2011-01-06,Spring,2011,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,Dingin
134,2011-01-06,Spring,2011,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,Dingin
135,2011-01-06,Spring,2011,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,Dingin
136,2011-01-06,Spring,2011,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,Dingin
137,2011-01-06,Spring,2011,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,Dingin
138,2011-01-06,Spring,2011,1,23,0,4,1,2,0.2,0.19699999999999998,0.59,0.19399999999999998,4,19,23,Dingin
139,2011-01-07,Spring,2011,1,0,0,5,1,2,0.2,0.19699999999999998,0.64,0.19399999999999998,4,13,17,Dingin
140,2011-01-07,Spring,2011,1,1,0,5,1,2,0.2,0.19699999999999998,0.69,0.2239,2,5,7,Dingin
141,2011-01-07,Spring,2011,1,2,0,5,1,2,0.2,0.19699999999999998,0.69,0.2239,0,1,1,Dingin
142,2011-01-07,Spring,2011,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,Dingin
143,2011-01-07,Spring,2011,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,Dingin
144,2011-01-07,Spring,2011,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,Dingin
145,2011-01-07,Spring,2011,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,Dingin
146,2011-01-07,Spring,2011,1,8,0,5,1,1,0.2,0.19699999999999998,0.51,0.2537,20,190,210,Dingin
147,2011-01-07,Spring,2011,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,Dingin
148,2011-01-07,Spring,2011,1,10,0,5,1,1,0.22,0.19699999999999998,0.37,0.3284,16,47,63,Dingin
149,2011-01-07,Spring,2011,1,11,0,5,1,2,0.2,0.19699999999999998,0.4,0.2239,19,48,67,Dingin
150,2011-01-07,Spring,2011,1,12,0,5,1,2,0.2,0.19699999999999998,0.37,0.2537,9,50,59,Dingin
151,2011-01-07,Spring,2011,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,Dingin
152,2011-01-07,Spring,2011,1,14,0,5,1,2,0.2,0.19699999999999998,0.4,0.2537,7,43,50,Dingin
153,2011-01-07,Spring,2011,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,Dingin
154,2011-01-07,Spring,2011,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,Dingin
155,2011-01-07,Spring,2011,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,Dingin
156,2011-01-07,Spring,2011,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,Dingin
157,2011-01-07,Spring,2011,1,19,0,5,1,1,0.16,0.19699999999999998,0.55,0.0896,3,92,95,Dingin
158,2011-01-07,Spring,2011,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,Dingin
159,2011-01-07,Spring,2011,1,21,0,5,1,1,0.18,0.19699999999999998,0.47,0.1343,0,39,39,Dingin
160,2011-01-07,Spring,2011,1,22,0,5,1,2,0.18,0.19699999999999998,0.43,0.1642,2,34,36,Dingin
161,2011-01-07,Spring,2011,1,23,0,5,1,2,0.18,0.19699999999999998,0.51,0.1642,1,14,15,Dingin
162,2011-01-08,Spring,2011,1,0,0,6,0,2,0.18,0.19699999999999998,0.51,0.1642,1,24,25,Dingin
163,2011-01-08,Spring,2011,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,Dingin
164,2011-01-08,Spring,2011,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,Dingin
165,2011-01-08,Spring,2011,1,3,0,6,0,3,0.18,0.19699999999999998,0.55,0.1642,0,7,7,Dingin
166,2011-01-08,Spring,2011,1,4,0,6,0,3,0.18,0.19699999999999998,0.55,0.1642,0,1,1,Dingin
167,2011-01-08,Spring,2011,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,Dingin
168,2011-01-08,Spring,2011,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,Dingin
169,2011-01-08,Spring,2011,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,Dingin
170,2011-01-08,Spring,2011,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,Dingin
171,2011-01-08,Spring,2011,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,Dingin
172,2011-01-08,Spring,2011,1,10,0,6,0,2,0.18,0.19699999999999998,0.8,0.1642,5,56,61,Dingin
173,2011-01-08,Spring,2011,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,Dingin
174,2011-01-08,Spring,2011,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,Dingin
175,2011-01-08,Spring,2011,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,Dingin
176,2011-01-08,Spring,2011,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,Dingin
177,2011-01-08,Spring,2011,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,Dingin
178,2011-01-08,Spring,2011,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,Dingin
179,2011-01-08,Spring,2011,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,Dingin
180,2011-01-08,Spring,2011,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,Dingin
181,2011-01-08,Spring,2011,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,Dingin
182,2011-01-08,Spring,2011,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,Dingin
183,2011-01-08,Spring,2011,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,Dingin
184,2011-01-08,Spring,2011,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,Dingin
185,2011-01-08,Spring,2011,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,Dingin
186,2011-01-09,Spring,2011,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,Dingin
187,2011-01-09,Spring,2011,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,Dingin
188,2011-01-09,Spring,2011,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,Dingin
189,2011-01-09,Spring,2011,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,Dingin
190,2011-01-09,Spring,2011,1,4,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,0,1,1,Dingin
191,2011-01-09,Spring,2011,1,5,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,0,1,1,Dingin
192,2011-01-09,Spring,2011,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,Dingin
193,2011-01-09,Spring,2011,1,7,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,1,5,6,Dingin
194,2011-01-09,Spring,2011,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,Dingin
195,2011-01-09,Spring,2011,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,Dingin
196,2011-01-09,Spring,2011,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,Dingin
197,2011-01-09,Spring,2011,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,Dingin
198,2011-01-09,Spring,2011,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,Dingin
199,2011-01-09,Spring,2011,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,Dingin
200,2011-01-09,Spring,2011,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,Dingin
201,2011-01-09,Spring,2011,1,15,0,0,0,1,0.22,0.19699999999999998,0.35,0.3582,5,77,82,Dingin
202,2011-01-09,Spring,2011,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,Dingin
203,2011-01-09,Spring,2011,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,Dingin
204,2011-01-09,Spring,2011,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,Dingin
205,2011-01-09,Spring,2011,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,Dingin
206,2011-01-09,Spring,2011,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,Dingin
207,2011-01-09,Spring,2011,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20,Dingin
208,2011-01-09,Spring,2011,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15,Dingin
209,2011-01-09,Spring,2011,1,23,0,0,0,1,0.12,0.1364,0.5,0.19399999999999998,0,6,6,Dingin
210,2011-01-10,Spring,2011,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5,Dingin
211,2011-01-10,Spring,2011,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1,Dingin
212,2011-01-10,Spring,2011,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3,Dingin
213,2011-01-10,Spring,2011,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1,Dingin
214,2011-01-10,Spring,2011,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3,Dingin
215,2011-01-10,Spring,2011,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3,Dingin
216,2011-01-10,Spring,2011,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31,Dingin
217,2011-01-10,Spring,2011,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77,Dingin
218,2011-01-10,Spring,2011,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188,Dingin
219,2011-01-10,Spring,2011,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94,Dingin
220,2011-01-10,Spring,2011,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31,Dingin
221,2011-01-10,Spring,2011,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30,Dingin
222,2011-01-10,Spring,2011,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52,Dingin
223,2011-01-10,Spring,2011,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54,Dingin
224,2011-01-10,Spring,2011,1,14,0,1,1,2,0.2,0.19699999999999998,0.4,0.2239,0,47,47,Dingin
225,2011-01-10,Spring,2011,1,15,0,1,1,2,0.2,0.19699999999999998,0.4,0.2239,2,43,45,Dingin
226,2011-01-10,Spring,2011,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74,Dingin
227,2011-01-10,Spring,2011,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178,Dingin
228,2011-01-10,Spring,2011,1,18,0,1,1,1,0.2,0.19699999999999998,0.4,0.2239,1,154,155,Dingin
229,2011-01-10,Spring,2011,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95,Dingin
230,2011-01-10,Spring,2011,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74,Dingin
231,2011-01-10,Spring,2011,1,21,0,1,1,1,0.14,0.1364,0.59,0.19399999999999998,1,37,38,Dingin
232,2011-01-10,Spring,2011,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24,Dingin
233,2011-01-10,Spring,2011,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18,Dingin
234,2011-01-11,Spring,2011,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12,Dingin
235,2011-01-11,Spring,2011,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3,Dingin
236,2011-01-11,Spring,2011,1,2,0,2,1,2,0.16,0.1515,0.55,0.19399999999999998,0,3,3,Dingin
237,2011-01-11,Spring,2011,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6,Dingin
238,2011-01-11,Spring,2011,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27,Dingin
239,2011-01-11,Spring,2011,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,2,97,99,Dingin
